state,total
Maryland,59.3
Maryland,30.7
Maryland,0.6
Maryland,6.6
Maryland,0.1
Maryland,2.8
Maryland,9.8
Maryland,51.5
Maryland,403900.0
Maryland,14.5
Maryland,2447127.0
Maryland,2378814.0
Maryland,66.8
Maryland,286900.0
Maryland,1951.0
Maryland,582.0
Maryland,1230.0
Maryland,17044.0
Maryland,2166389.0
Maryland,2.67
Maryland,86.6
Maryland,17.2
Maryland,89.4
Maryland,37.9
Maryland,7.1
Maryland,7.0
Maryland,67.9
Maryland,64.1
Maryland,12516782.0
Maryland,40821901.0
Maryland,39532989.0
Maryland,60734191.0
Maryland,76379707.0
Maryland,12980.0
Maryland,32.3
Maryland,74551.0
Maryland,36897.0
Maryland,9.7
Maryland,137204.0
Maryland,2239817.0
Maryland,118496858.0
Maryland,1.0
Maryland,475518.0
Maryland,531953.0
Maryland,276630.0
Maryland,209119.0
Maryland,203394.0
Maryland,314902.0
Maryland,50976.0
Maryland,462232.0
Maryland,594.8
Maryland,9707.24
Massachusetts,6811779.0
Massachusetts,6547813.0
Massachusetts,4.0
Massachusetts,6547629.0
Massachusetts,5.3
Massachusetts,5.6
Massachusetts,20.2
Massachusetts,21.7
Massachusetts,15.8
Massachusetts,13.8
Massachusetts,51.5
Massachusetts,51.6
Massachusetts,81.8
Massachusetts,8.6
Massachusetts,0.5
Massachusetts,6.7
Massachusetts,0.1
Massachusetts,2.3
Massachusetts,11.5
Massachusetts,73.0
Massachusetts,355083.0
Massachusetts,15.5
Massachusetts,2858026.0
Massachusetts,2808254.0
Massachusetts,62.1
Massachusetts,333100.0
Massachusetts,2063.0
Massachusetts,717.0
Massachusetts,1102.0
Massachusetts,16288.0
Massachusetts,2549721.0
Massachusetts,2.53
Massachusetts,87.1
Massachusetts,22.5
Massachusetts,89.8
Massachusetts,40.5
Massachusetts,7.9
Massachusetts,2.9
Massachusetts,67.5
Massachusetts,63.4
Massachusetts,17508975.0
Massachusetts,63583090.0
Massachusetts,81927799.0
Massachusetts,123904370.0
Massachusetts,92915380.0
Massachusetts,13980.0
Massachusetts,28.7
Massachusetts,68563.0
Massachusetts,36895.0
Massachusetts,10.4
Massachusetts,175225.0
Massachusetts,3167329.0
Massachusetts,198026611.0
Massachusetts,2.6
Massachusetts,514298.0
Massachusetts,607664.0
Massachusetts,357158.0
Massachusetts,199210.0
Massachusetts,89967.0
Massachusetts,499959.0
Massachusetts,58339.0
Massachusetts,525667.0
Massachusetts,839.4
Massachusetts,7800.06
Michigan,9928300.0
Michigan,9884129.0
Michigan,0.4
Michigan,9883640.0
Michigan,5.8
Michigan,6.0
Michigan,22.1
Michigan,23.7
Michigan,16.2
Michigan,13.8
Michigan,50.8
Michigan,50.9
Michigan,79.6
Michigan,14.2
Michigan,0.7
Michigan,3.1
Michigan,2.4
Michigan,5.0
Michigan,75.4
Michigan,626722.0
Michigan,6.3
Michigan,4560055.0
Michigan,4532233.0
Michigan,71.0
Michigan,122400.0
Michigan,1257.0
Michigan,461.0
Michigan,783.0
Michigan,20408.0
Michigan,3841148.0
Michigan,2.52
Michigan,85.3
Michigan,9.2
Michigan,89.6
Michigan,26.9
Michigan,10.3
Michigan,6.3
Michigan,61.2
Michigan,57.1
Michigan,17962356.0
Michigan,63018786.0
Michigan,238892383.0
Michigan,115704903.0
Michigan,119302046.0
Michigan,12071.0
Michigan,24.2
Michigan,49576.0
Michigan,26607.0
Michigan,15.0
Michigan,219627.0
Michigan,3725280.0
Michigan,174873962.0
Michigan,3.2
Michigan,700254.0
Michigan,834087.0
Michigan,446128.0
Michigan,306986.0
Michigan,158946.0
Michigan,657237.0
Michigan,71861.0
Michigan,733517.0
Michigan,174.8
Michigan,56538.9
Minnesota,5519952.0
Minnesota,5303924.0
Minnesota,4.1
Minnesota,5303925.0
Minnesota,6.4
Minnesota,6.7
Minnesota,23.3
Minnesota,24.2
Minnesota,15.1
Minnesota,12.9
Minnesota,50.2
Minnesota,50.4
Minnesota,85.0
Minnesota,6.2
Minnesota,1.3
Minnesota,4.9
Minnesota,0.1
Minnesota,2.4
Minnesota,5.2
Minnesota,80.6
Minnesota,342388.0
Minnesota,7.7
Minnesota,2409935.0
Minnesota,2347201.0
Minnesota,71.7
Minnesota,186200.0
