Date,state,handgun,long_gun,other,multiple,totals
2017-05-01,Pennsylvania,42646.0,11123.0,157.0,0,79725
2017-05-01,Puerto Rico,1279.0,217.0,67.0,31,1600
2017-05-01,Rhode Island,1048.0,541.0,82.0,182,1883
2017-05-01,South Carolina,9258.0,4234.0,494.0,617,31248
2017-05-01,South Dakota,2369.0,2578.0,253.0,145,7004
2017-05-01,Tennessee,22198.0,10745.0,1187.0,0,57763
2017-05-01,Texas,42366.0,27991.0,2991.0,2226,109732
2017-05-01,Utah,3204.0,3144.0,214.0,0,23844
2017-05-01,Vermont,1306.0,1132.0,83.0,49,2577
2017-05-01,Virgin Islands,19.0,1.0,0.0,2,79
2017-05-01,Virginia,21697.0,12181.0,969.0,0,36007
2017-05-01,Washington,15915.0,9682.0,1617.0,584,45816
2017-05-01,West Virginia,5818.0,4329.0,262.0,321,15085
2017-05-01,Wisconsin,14070.0,9467.0,709.0,58,37888
2017-05-01,Wyoming,1589.0,1578.0,101.0,91,4128
2017-04-01,Alabama,7131.0,4724.0,229.0,261,32652
2017-04-01,Alaska,2997.0,2840.0,221.0,233,6983
2017-04-01,Arizona,13302.0,7485.0,1109.0,658,32052
2017-04-01,Arkansas,5670.0,4226.0,191.0,287,16452
2017-04-01,California,45182.0,24898.0,3104.0,0,132190
2017-04-01,Colorado,19453.0,12407.0,1268.0,1068,39989
2017-04-01,Connecticut,6557.0,2063.0,178.0,0,16406
2017-04-01,Delaware,2017.0,1249.0,90.0,89,4296
2017-04-01,District of Columbia,68.0,1.0,0.0,0,104
2017-04-01,Florida,52889.0,19489.0,3290.0,1840,103641
2017-04-01,Georgia,13202.0,6567.0,463.0,421,37829
2017-04-01,Guam,93.0,39.0,9.0,6,147
2017-04-01,Hawaii,0.0,0.0,0.0,0,888
2017-04-01,Idaho,3874.0,4039.0,196.0,160,15234
2017-04-01,Illinois,25414.0,10416.0,0.0,845,135507
2017-04-01,Indiana,21454.0,11390.0,1158.0,677,63298
2017-04-01,Iowa,252.0,2348.0,56.0,3,13017
2017-04-01,Kansas,5901.0,4435.0,402.0,308,15139
2017-04-01,Kentucky,9858.0,6519.0,257.0,433,392685
2017-04-01,Louisiana,10551.0,6161.0,797.0,492,22065
2017-04-01,Maine,3816.0,3073.0,242.0,183,8115
2017-04-01,Mariana Islands,11.0,2.0,0.0,0,13
2017-04-01,Maryland,4435.0,5128.0,227.0,24,13182
2017-04-01,Massachusetts,6540.0,2717.0,411.0,194,17866
2017-04-01,Michigan,12478.0,9139.0,524.0,246,41939
2017-04-01,Minnesota,13074.0,12144.0,885.0,540,71484
2017-04-01,Mississippi,7952.0,4359.0,245.0,294,16803
2017-04-01,Missouri,20328.0,14124.0,1233.0,998,40019
2017-04-01,Montana,3014.0,4246.0,162.0,219,10293
2017-04-01,Nebraska,126.0,1648.0,15.0,4,5745
2017-04-01,Nevada,4890.0,2747.0,243.0,287,10588
2017-04-01,New Hampshire,5658.0,3121.0,165.0,9,10792
2017-04-01,New Jersey,5722.0,3201.0,196.0,0,9119
2017-04-01,New Mexico,5665.0,4023.0,502.0,267,12748
2017-04-01,New York,11913.0,14591.0,1111.0,204,33113
2017-04-01,North Carolina,1471.0,9870.0,678.0,185,39992
2017-04-01,North Dakota,2209.0,2492.0,107.0,99,6504
2017-04-01,Ohio,31417.0,16030.0,1580.0,1209,66800
2017-04-01,Oklahoma,13317.0,9111.0,1159.0,862,27478
2017-04-01,Oregon,15122.0,10896.0,0.0,2,27936
2017-04-01,Pennsylvania,48255.0,11877.0,97.0,0,85908
2017-04-01,Puerto Rico,1105.0,204.0,45.0,26,1387
2017-04-01,Rhode Island,1146.0,673.0,82.0,200,2133
2017-04-01,South Carolina,9548.0,4420.0,515.0,1159,30218
2017-04-01,South Dakota,2896.0,3008.0,308.0,148,7857
2017-04-01,Tennessee,23031.0,11521.0,1164.0,0,57852
2017-04-01,Texas,44994.0,28015.0,3098.0,2442,109961
2017-04-01,Utah,3917.0,3302.0,226.0,0,23177
2017-04-01,Vermont,1855.0,1720.0,124.0,105,3818
2017-04-01,Virgin Islands,22.0,7.0,0.0,0,111
2017-04-01,Virginia,29480.0,16844.0,1227.0,0,48631
2017-04-01,Washington,17120.0,10659.0,1750.0,630,47895
2017-04-01,West Virginia,6723.0,5263.0,257.0,365,16988
2017-04-01,Wisconsin,16700.0,13302.0,873.0,46,45872
2017-04-01,Wyoming,1633.0,1711.0,108.0,85,4269
2017-03-01,Alabama,10603.0,6951.0,313.0,387,48769
2017-03-01,Alaska,3067.0,2640.0,242.0,184,6971
2017-03-01,Arizona,14897.0,9036.0,1120.0,738,38170
2017-03-01,Arkansas,7907.0,6010.0,281.0,454,23290
2017-03-01,California,48732.0,27839.0,3032.0,0,146592
2017-03-01,Colorado,21249.0,14378.0,1528.0,1181,45645
2017-03-01,Connecticut,7476.0,2551.0,182.0,0,18787
2017-03-01,Delaware,2557.0,1677.0,95.0,110,5527
2017-03-01,District of Columbia,83.0,3.0,0.0,1,111
2017-03-01,Florida,60787.0,23982.0,3609.0,2176,122716
2017-03-01,Georgia,19256.0,9518.0,533.0,676,57235
2017-03-01,Guam,74.0,41.0,7.0,13,136
2017-03-01,Hawaii,0.0,0.0,0.0,0,1090
2017-03-01,Idaho,4500.0,4944.0,289.0,243,16675
2017-03-01,Illinois,30518.0,14411.0,0.0,1207,163728
2017-03-01,Indiana,28593.0,14363.0,1575.0,793,79624
2017-03-01,Iowa,316.0,3137.0,62.0,4,20026
2017-03-01,Kansas,7712.0,5522.0,558.0,360,17891
2017-03-01,Kentucky,13769.0,8992.0,347.0,645,397959
2017-03-01,Louisiana,13973.0,8092.0,988.0,762,29310
2017-03-01,Maine,4558.0,3286.0,305.0,197,9632
2017-03-01,Mariana Islands,9.0,1.0,1.0,0,11
2017-03-01,Maryland,5398.0,5737.0,292.0,21,15769
2017-03-01,Massachusetts,7274.0,3421.0,464.0,185,21059
2017-03-01,Michigan,16031.0,11103.0,617.0,273,54452
2017-03-01,Minnesota,14029.0,12988.0,1131.0,518,77749
2017-03-01,Mississippi,11586.0,6508.0,344.0,465,24421
2017-03-01,Missouri,27625.0,17931.0,1537.0,1286,52928
2017-03-01,Montana,3615.0,4584.0,299.0,281,12396
2017-03-01,Nebraska,176.0,1984.0,24.0,7,7337
2017-03-01,Nevada,6038.0,3219.0,298.0,301,14158
2017-03-01,New Hampshire,7278.0,3462.0,227.0,3,13529
2017-03-01,New Jersey,6871.0,3864.0,258.0,0,10993
2017-03-01,New Mexico,6752.0,4571.0,524.0,374,14963
2017-03-01,New York,12788.0,15591.0,1245.0,204,35608
2017-03-01,North Carolina,1669.0,13837.0,875.0,261,55574
2017-03-01,North Dakota,2013.0,2371.0,124.0,70,6461
2017-03-01,Ohio,37474.0,19925.0,2384.0,1481,81153
2017-03-01,Oklahoma,14157.0,10065.0,1118.0,977,30518
2017-03-01,Oregon,17177.0,13521.0,0.0,0,32423
2017-03-01,Pennsylvania,61207.0,15836.0,86.0,0,110334
2017-03-01,Puerto Rico,1267.0,206.0,48.0,28,1560
2017-03-01,Rhode Island,1424.0,791.0,83.0,223,2553
2017-03-01,South Carolina,13284.0,6749.0,680.0,691,43113
2017-03-01,South Dakota,3361.0,3686.0,342.0,238,9770
2017-03-01,Tennessee,29369.0,15922.0,1526.0,0,74655
2017-03-01,Texas,55983.0,34308.0,3702.0,2846,144270
2017-03-01,Utah,4401.0,4010.0,284.0,0,26941
2017-03-01,Vermont,2007.0,1793.0,125.0,109,4051
2017-03-01,Virgin Islands,27.0,5.0,0.0,0,96
2017-03-01,Virginia,29873.0,17754.0,1193.0,0,49368
2017-03-01,Washington,20308.0,12740.0,2224.0,735,58069
2017-03-01,West Virginia,8887.0,6616.0,324.0,523,22529
2017-03-01,Wisconsin,19864.0,16763.0,1105.0,41,58739
2017-03-01,Wyoming,2017.0,2038.0,134.0,124,5315
2017-02-01,Alabama,10739.0,7028.0,291.0,505,46251
2017-02-01,Alaska,2857.0,2102.0,191.0,180,5917
